name;socr;code;index;gninmb;uno;ocatd;status
Мухортово;д;3700700013300;155841;3703;;24211810006;0
Мысы;д;3700700013400;155841;3703;;24211810007;0
Наумиха;д;3700700013500;155826;3703;;24211804029;0
Нестерово;д;3700700013600;155829;3703;;24211848035;0
Поспелиха Новая;д;3700700013700;155810;3703;;24211828021;0
Новинки (Горковское СП);д;3700700013800;155824;3703;;24211808015;0
Новинки (Ласкарихинское СП);д;3700700013900;155844;3703;;24211840019;0
Новое Рощино;д;3700700014000;155821;3703;;24211832009;0
Ногинская;д;3700700014100;155826;3703;;24211804031;0
Норское;д;3700700014200;155845;3703;;24211820010;0
Огариха;д;3700700014300;155841;3703;;24211810008;0
Октябрьский;с;3700700014400;;3703;;24211832010;0
Олешево;д;3700700014500;155828;3703;;24211848015;0
Осеево;д;3700700014600;155827;3703;;24211812022;0
Осиновка;д;3700700014700;155843;3703;;24211840014;0
Осташево;д;3700700014800;155824;3703;;24211808016;0
Панинская;д;3700700014900;155845;3703;;24211820011;0
Пашкино;х;3700700015000;155838;3703;;24211828019;0
Пеньки;д;3700700015100;155827;3703;;24211812024;0
Первомайский;с;3700700015200;155821;3703;;24211832011;0
Перфильево;д;3700700015300;155810;3703;;24211828020;0
Петрищево;д;3700700015400;155824;3703;;24211808017;0
Пешково;д;3700700015500;155824;3703;;24211808018;0
Пичугино;д;3700700015600;155827;3703;;24211812025;0
Пичугино (Решемское СП);д;3700700015700;;3703;;24211836021;0
Плаксино;д;3700700015800;155824;3703;;24211808019;0
Подкурново;д;3700700015900;155826;3703;;24211804032;0
Подстанция;д;3700700016099;155838;3703;;24211000000;0
Починок;д;3700700016100;155821;3703;;24211832012;0
Пырьево;д;3700700016200;155826;3703;;24211804033;0
Пятериково;д;3700700016300;155826;3703;;24211804034;0
Реутиха;д;3700700016400;155829;3703;;24211848036;0
Решетиха;д;3700700016500;155829;3703;;24211848037;0
Решма;с;3700700016600;155840;3703;;24211836001;0
Рогуши;д;3700700016700;155839;3703;;24211804035;0
Романово;д;3700700016800;155810;3703;;24211828023;0
Салтаниха;д;3700700016900;155841;3703;;24211810009;0
Самарино;д;3700700017099;155845;3703;;24211000000;0
Самсониха;д;3700700017100;155828;3703;;24211848016;0
Санково Большое;д;3700700017200;155830;3703;;24211844005;0
Семенково;д;3700700017300;155824;3703;;24211808020;0
Сергеевка;д;3700700017400;155841;3703;;24211810010;0
Сидеряха;д;3700700017500;155824;3703;;24211808021;0
Сидоровка;д;3700700017600;155843;3703;;24211840015;0
Сидоровская;д;3700700017700;155826;3703;;24211804036;0
Скоково;д;3700700017800;155828;3703;;24211848017;0
